IID;Name;Longitude_WGS84;Latitude_WGS84;Street;AdmArea;District;RouteNumbers;StationName;Direction;Pavilion;OperatingOrgName;EntryState;global_id;geoData
65;«Бескудниково», Дмитровское шоссе (от центра);37.5481064149132;55.8743403107145;Дмитровское шоссе;Северный административный округ;Бескудниковский район;"А763К; А799; А994; А63; А763; АТ78; А179";Бескудниково;от центра;да;ГУП «Мосгортранс»;активна;1715951;{type=Point, coordinates=[37.5481064149132, 55.8743403107145]}
66;«Баскетбольная школа», Дубнинская улица (от центра);37.5577474506093;55.8806124293294;Дубнинская улица;Северный административный округ;район Восточное Дегунино;"А167; А179; А677; А799";Баскетбольная школа;от центра;да;ГУП «Мосгортранс»;активна;1715952;{type=Point, coordinates=[37.557747480787, 55.880612061955]}
67;«Д/к Юность», Дубнинская улица (от центра);37.5577143072322;55.8840806051129;Дубнинская улица;Северный административный округ;район Восточное Дегунино;"А167; А179; А677; А799";Д/к Юность;от центра;да;ГУП «Мосгортранс»;активна;1715953;{type=Point, coordinates=[37.557714337451, 55.884080237434]}
68;«Мкр. Дубки», Дубнинская улица (от центра);37.5576796942824;55.8876178739915;Дубнинская улица;Северный административный округ;район Восточное Дегунино;"А167; А179; А677; А799";Мкр. Дубки;от центра;да;ГУП «Мосгортранс»;активна;1715954;{type=Point, coordinates=[37.557679724472, 55.88761750642]}
69;«Ин-т Стали», Дубнинская улица (от центра);37.5576213841246;55.8922865043233;Дубнинская улица;Северный административный округ;район Восточное Дегунино;"А167; А179; А677; А799";Ин-т Стали;от центра;да;ГУП «Мосгортранс»;активна;1715955;{type=Point, coordinates=[37.557621414836, 55.892286136869]}
70;«Керамический пр.», Дубнинская улица (от центра);37.5575632613255;55.8943697899337;Дубнинская улица;Северный административный округ;район Восточное Дегунино;"А167; А179; А677; А799";Керамический пр.;от центра;да;ГУП «Мосгортранс»;активна;1715956;{type=Point, coordinates=[37.557563292045, 55.89436942254]}
71;«Платф. Лианозово (выс.)», Керамический проезд (от центра);37.5549571619866;55.8963512704889;Керамический проезд;Северный административный округ;район Восточное Дегунино;"А167; А179; А677; А799";Платф. Лианозово (выс.);от центра;нет;;активна;1715957;{type=Point, coordinates=[37.554957192303, 55.896350902909]}
72;«Ст. Ховрино (пос.)», Деповская улица (в центр);37.5115874291216;55.8696342517162;Деповская улица;Северный административный округ;район Западное Дегунино;"А270; А748; А154; А215; А191; А215к; А665";Ст. Ховрино (пос.);в центр;нет;;активна;1715958;{type=Point, coordinates=[37.511587460372, 55.869633884064]}
73;«Весенняя ул.», Ангарская улица (от центра);37.514624185678;55.8738206971876;Ангарская улица;Северный административный округ;район Западное Дегунино;А665;Весенняя ул.;от центра;да;ГУП «Мосгортранс»;активна;1715959;{type=Point, coordinates=[37.514624216911, 55.873820329336]}
74;«Мкр. Западное Дегунино», Ангарская улица (от центра);37.5174087980569;55.8761341927622;Ангарская улица;Северный административный округ;район Западное Дегунино;А665;Мкр. Западное Дегунино;от центра;да;ГУП «Мосгортранс»;активна;1715960;{type=Point, coordinates=[37.517408828929, 55.876133825272]}
75;«Ангарская ул.», Коровинское шоссе (от центра);37.5224620961276;55.8789531518122;Коровинское шоссе;Северный административный округ;Дмитровский район;"А665; А799; А656; А571; А352; А270; А191; А114; Тб56";Ангарская ул.;от центра;да;ГУП Мосгортранс;активна;1715961;{type=Point, coordinates=[37.522462126709, 55.878952784232]}
76;«Колледж № 7», Клязьминская улица (от центра);37.5205108862106;55.8844530846047;Клязьминская улица;Северный административный округ;Дмитровский район;"А194; А665; А200";Колледж № 7;от центра;да;ГУП «Мосгортранс»;активна;1715962;{type=Point, coordinates=[37.520510917248, 55.884452717003]}
77;«Ин-т Микрохирургии глаза», Коровинское шоссе (в центр);37.5370259547632;55.8689609283798;Коровинское шоссе;Северный административный округ;район Западное Дегунино;"А194; А672; А215К; А656; А191; А591; Тб56";Ин-т Микрохирургии глаза;в центр;да;ГУП «Мосгортранс»;активна;1715963;{type=Point, coordinates=[37.537025985554, 55.868960560728]}
11;«Наб. Тараса Шевченко», набережная Тараса Шевченко (от центра);37.5728749603633;55.7494564437325;набережная Тараса Шевченко;Западный административный округ;район Дорогомилово;"А157; А840; А91";Наб. Тараса Шевченко;от центра;да;ЗАО «Валль СНГ»;активна;1715965;{type=Point, coordinates=[37.57287499079, 55.749456075173]}
26;«ВКНЦ», 3-я Черепковская улица (в центр);37.3754792363795;55.7573179114445;3-я Черепковская улица;Западный административный округ;район Кунцево;"А642; А660; А798; А816; А829";ВКНЦ;в центр;нет;;активна;1715966;{type=Point, coordinates=[37.375479267394, 55.757317543004]}
32;«Новосущевская ул.», улица Сущёвский Вал (в центр);37.6030389738122;55.7927166482232;улица Сущёвский Вал;Северо-Восточный административный округ;район Марьина Роща;"А126; А84; А84А; А84К; Тб18; Тб42";Новосущевская ул.;в центр;да;ООО «Праймсайт»;активна;1715967;{type=Point, coordinates=[37.60303900405, 55.792716280041]}
34;«Керамический пр.», Дубнинская улица (в центр);37.5572887599564;55.8946794410296;Дубнинская улица;Северный административный округ;район Восточное Дегунино;"А167; А179; А677; А799";Керамический пр.;в центр;да;ГУП Мосгортранс;активна;1715968;{type=Point, coordinates=[37.557288790254, 55.894679073642]}
